display_name,name,count,nach OKF offenedaten.de
cc-by-nc,cc-by-nc,1858,Nicht Offen
Creative Commons Non-Commercial (Alle),cc-nc,1515,Nicht Offen
Andere eingeschränkte Lizenzen,Andere eingeschränkte Lizenzen,4,Nicht Offen
dl-de-by-2.0,dl-de-by-2.0,15004,Offen
Creative Commons Attribution,cc-by,2566,Offen
dl-de-by-1.0,dl-de-by-1.0,1067,Offen
dl-de-zero-2.0,dl-de-zero-2.0,846,Offen
Creative Commons CCZero,cc-zero,412,Offen
CC BY 3.0 DE,CC BY 3.0 DE,184,Offen
CC-BY 3.0,CC-BY 3.0,35,Offen
Creative Commons Attribution Share-Alike,cc-by-sa,26,Offen
Andere (Offen),other-open,3,Offen
GNU Free Documentation License,gfdl,2,Offen
nicht bekannt,nicht bekannt,1717,
dl-de-by-nc-1.0,dl-de-by-nc-1.0,656,Nicht Offen
https://creativecommons.org/licenses/by/3.0/de/,https://creativecommons.org/licenses/by/3.0/de/,246,Offen
Andere (nicht offen),other-closed,174,
Open Data Commons Open Database License (ODbL),odc-odbl,100,
cc-by-4.0,cc-by-4.0,64,
https://www.govdata.de/dl-de/by-2-0,https://www.govdata.de/dl-de/by-2-0,61,Offen
https://www.govdata.de/dl-de/zero-2-0,https://www.govdata.de/dl-de/zero-2-0,49,
CC-BY-ND 3.0,CC-BY-ND 3.0,29,Nicht Offen
Siehe Website des Datensatzes,Siehe Website des Datensatzes,12,
Lizenz nicht angegeben,notspecified,12,
cc-by-nd-4.0,cc-by-nd-4.0,8,
cc-by-nc-nd,cc-by-nc-nd,7,
Andere (gemeinfrei),other-pd,5,
cc-by3,cc-by3,3,
cc-by-3.0,cc-by-3.0,2,Offen
CC BY-NC-SA 4.0,CC BY-NC-SA 4.0,2,
Andere (nicht-kommerziell),other-nc,2,
Andere (Namensnennung),other-at,2,
odbl,odbl,1,
cc-pdm-1.0,cc-pdm-1.0,1,
Open Data Commons Public Domain Dedication and License (PDDL),odc-pddl,1,
MIT,MIT,1,
GeoNutzV-Berlin,GeoNutzV-Berlin,1,
CC-BY-SA 3.0,CC-BY-SA 3.0,1,
CC BY-NC-SA 3.0 DE,CC BY-NC-SA 3.0 DE,1,Nicht Offen
CC BY-NC-ND 3.0 DE,CC BY-NC-ND 3.0 DE,1,
CC BY-NC 3.0 DE,CC BY-NC 3.0 DE,1,
